image_path,subject_id,gender,hand,finger,finger_index,category,alteration
data/raw/SOCOFing/Real/100__M_Left_index_finger.BMP,100,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/100__M_Left_little_finger.BMP,100,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/100__M_Left_middle_finger.BMP,100,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/100__M_Left_ring_finger.BMP,100,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/100__M_Left_thumb_finger.BMP,100,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/100__M_Right_index_finger.BMP,100,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/100__M_Right_little_finger.BMP,100,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/100__M_Right_middle_finger.BMP,100,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/100__M_Right_ring_finger.BMP,100,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/100__M_Right_thumb_finger.BMP,100,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/101__M_Left_index_finger.BMP,101,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/101__M_Left_little_finger.BMP,101,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/101__M_Left_middle_finger.BMP,101,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/101__M_Left_ring_finger.BMP,101,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/101__M_Left_thumb_finger.BMP,101,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/101__M_Right_index_finger.BMP,101,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/101__M_Right_little_finger.BMP,101,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/101__M_Right_middle_finger.BMP,101,Male,Right,middle,Right_middle,Real,none
data/raw/SOCOFing/Real/101__M_Right_ring_finger.BMP,101,Male,Right,ring,Right_ring,Real,none
data/raw/SOCOFing/Real/101__M_Right_thumb_finger.BMP,101,Male,Right,thumb,Right_thumb,Real,none
data/raw/SOCOFing/Real/102__M_Left_index_finger.BMP,102,Male,Left,index,Left_index,Real,none
data/raw/SOCOFing/Real/102__M_Left_little_finger.BMP,102,Male,Left,little,Left_little,Real,none
data/raw/SOCOFing/Real/102__M_Left_middle_finger.BMP,102,Male,Left,middle,Left_middle,Real,none
data/raw/SOCOFing/Real/102__M_Left_ring_finger.BMP,102,Male,Left,ring,Left_ring,Real,none
data/raw/SOCOFing/Real/102__M_Left_thumb_finger.BMP,102,Male,Left,thumb,Left_thumb,Real,none
data/raw/SOCOFing/Real/102__M_Right_index_finger.BMP,102,Male,Right,index,Right_index,Real,none
data/raw/SOCOFing/Real/102__M_Right_little_finger.BMP,102,Male,Right,little,Right_little,Real,none
data/raw/SOCOFing/Real/102__M_Right_middle_finger.BMP,102,Male,Right,middle,Right_middle,Real,none
